ID,Titulo,Descripcion,Epic,Tipo,Prioridad,Estimacion,Responsable,Estado,DoR,Entregable,Criterio_DoD
HU-11,Modelar dominio de Facturacion,Como administracion necesitamos registrar pagos y facturas.,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,DoR{HU-10 en main},01_ddl/03_tables/billing/,"DoD{Alcance{main}}] Tablas de pagos y facturas implementadas."
HU-12,Modelar dominios de Notificacion y Mantenimiento,Como operacion necesitamos gestionar soporte y alertas.,Modelo fisico por dominios,Historia,Alta,8,juanPabloGomezPerdomo,Ready,DoR{HU-11 en main},"01_ddl/03_tables/notification/; 01_ddl/03_tables/maintenance/","DoD{Alcance{main}}] Tablas de soporte y alertas implementadas."
HU-13,Crear Objetos de Consulta (Vistas),Como equipo de reportes necesitamos objetos para consultas complejas.,Modelo fisico por dominios,Historia,Media,5,juanPabloGomezPerdomo,Ready,DoR{HU-12 en main},01_ddl/04_views/,"DoD{Alcance{main}}] Vistas y vistas materializadas funcionales."
HU-14,Implementar Logica Programada (Funciones y Procs),Como equipo tecnico necesitamos encapsular logica en la base.,Modelo fisico por dominios,Historia,Media,5,juanPabloGomezPerdomo,Ready,DoR{HU-13 en main},"01_ddl/06_functions/; 01_ddl/07_procedures/","DoD{Alcance{main}}] Logica de negocio en el servidor implementada."
HU-15,Automatizar Reglas (Triggers e Indices),Como equipo tecnico necesitamos reglas de negocio automaticas.,Modelo fisico por dominios,Historia,Media,5,juanPabloGomezPerdomo,Ready,DoR{HU-14 en main},"01_ddl/08_triggers/; 01_ddl/09_indexes/","DoD{Alcance{main}}] Integridad y rendimiento optimizados."
HU-16,Cargar Datos Maestros (Seed Canonicos),Como QA necesitamos datos esenciales para que el sistema sea funcional.,Datos y Carga inicial,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,DoR{HU-15 en main},02_dml/01_inserts/,"DoD{Alcance{main}}] Seed{Canonicos} Catalogos y datos iniciales cargados."
HU-17,Ejecutar Actualizaciones y Ajustes DML (Seed Volumetricos),Como equipo de performance necesitamos datos masivos para estresar la base.,Datos y Carga inicial,Historia,Media,5,JohanStevenRodriguezCharr,Ready,DoR{HU-16 en main},"02_dml/01_updates/; 02_dml/03_upserts/","DoD{Alcance{main}}] Seed{Volumetricos} Datos operativos actualizados y volumetricos cargados."
HU-18,Limpieza e Integridad DML,Como equipo de datos necesitamos eliminar registros huerfanos.,Datos y Carga inicial,Historia,Media,5,JohanStevenRodriguezCharr,Ready,DoR{HU-17 en main},"02_dml/02_deletes/; 02_dml/04_patches/","DoD{Alcance{main}}] Datos basura eliminados y parches aplicados."
HU-19,Gestion de Accesos y Roles (DCL),Como seguridad necesitamos definir roles de base de datos.,Seguridad Avanzada,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,DoR{HU-18 en main},03_dcl/00_roles/,"DoD{Alcance{main}}] Roles de base de datos definidos."
HU-20,Asignacion de Permisos y RLS,Como seguridad necesitamos restringir el acceso a los datos.,Seguridad Avanzada,Historia,Alta,5,juanPabloGomezPerdomo,Ready,DoR{HU-19 en main},"03_dcl/01_grants/; 03_dcl/02_policies/","DoD{Alcance{main}}] Seguridad a nivel de fila y permisos asignados."
HU-21,Implementar Control Transaccional (TCL),Como equipo necesitamos asegurar la consistencia en fallos.,Datos y Carga inicial,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,DoR{HU-20 en main},04_tcl/,"DoD{Alcance{main}}] Bloques transaccionales y recuperacion manual definidos."
HU-22,Pruebas de Humo y Evidencia Final,Como equipo necesitamos demostrar que todo funciona.,Cierre y Evidencia,Historia,Alta,8,juanPabloGomezPerdomo,Ready,DoR{HU-21 en main},scripts/smoke-test.sql,"DoD{Alcance{main}}] Validacion final de la base de datos completa."
